ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
25885,0,0,11,34.35173913,59.79411765,61,62.33333333,67
702725,100,0,38.5,21.50833333,19.26229508,20,18.5,5
664235,100,1,65,64.41604585,68.96103896,75,75,75
416487,0,1,30,14.25460218,16.3584507,10,17.54788732,40
664238,100,1,34,38.89417989,46.13095238,45,47.31707317,50
586714,0,1,6.6,12.39464286,15.675,11,17.35,30
412308,0,0,4.5,50.66,48.75,56,41.5,41.5
749807,0,1,3.3,2.335428571,0.238461538,0.1,0.236842105,0.6
538034,0,1,42,11.32941176,5.253333333,1.1,8.642857143,0.5
757524,100,1,96.6,70.68888889,64,70,67.5,65
758380,100,1,98.3,74.82,57.8,57,57.5,57.5
607632,0,0,8,6.384146341,4.755555556,4.2,5.433333333,5.3
577739,100,1,54.5,53.63478261,44.88,47.4,45.5,46
577279,0,1,23.8,13.04,10,10,10,10
586713,100,1,93.4,88.01785714,85.28333333,90,83.28333333,75.1
483505,0,1,59.5,50.08888889,38.94791667,45,37.0625,25
756473,100,1,99.9,79.98235294,86.66666667,88,80,80
607621,100,0,6.8,10.18910891,3.481818182,2.2,3.6,5
177137,0,0,0.1,2.862368208,5.238686131,4,7.057352941,2
371661,100,1,89.9,77.31111111,69.74583333,70.4,67.63636364,33.3
260320,0,0,0.1,0.217768595,0.437674419,0.2,0.519626168,2
756493,100,1,80.5,72.246875,82.28571429,88.8,73.6,60
757547,100,1,61.6,61.18333333,62,65,59,60
756491,0,1,8.4,11.4125,2.414285714,0.7,3.5,4.9
74660,0,0,5,13.235,22.01612903,26,23.38709677,12
753725,100,0,21,46.88666667,49.7,49.9,49.97142857,50
746831,0,0,19.9,19.65529412,28.94736842,30,33.33333333,35
317763,100,1,82,21.67727273,3.151724138,5,4.751724138,5
379742,0,1,0.1,3.37472973,5.563414634,6,5.424390244,5.5
639644,0,0,14.8,7.739502333,5.5,5.5,5.5,5.5
693300,100,1,4,9.8828125,10,10,10,10
212000,100,1,80.8,87.84181034,83.30588235,84,83.3,79.5
25902,0,1,43,63.66521739,77,77,77,77
148945,0,0,42,47.53146067,53.91052632,52.1,53.26666667,50
654294,100,0,98,82.70923077,29.57857143,5,7.128571429,15
638242,0,1,1.4,5.329090909,7.266666667,4.5,9.2,18.9
173054,0,1,34.8,45.09816373,48.53448276,48,48.5862069,47.5
412309,100,0,97,24.89,12.5,20,5,5
757099,100,1,80,50.51851852,51.01666667,42,56.66666667,70
178000,0,0,0.1,1.227609428,2.617424242,1.7,3.606818182,8.5
416496,100,1,41,46.5572093,31.37062937,30,30.94366197,40
175729,100,1,94.1,29.92375201,18.77608696,18,19.4942029,32
577742,100,1,26.8,38.40454545,43.52,42,45,42
756483,0,1,19.7,71.62307692,57.33333333,50,39,39
639643,0,0,28,13.75521472,14.22206897,15,16.24027778,25
496673,0,1,54,11.11722222,2.01,2,2.72,5
235836,0,0,75,74.17510373,42.69622642,33.7,33.96538462,32
663886,100,1,60.1,52.05940959,32.08333333,30,30,30
654923,0,0,0.4,4.1125,13.85714286,19,16.25714286,11
405842,100,0,69.9,54.43461538,39.8,41,36.5,33
753110,0,0,5.5,15.6244898,14.95454545,8.5,9.2,12
180405,0,0,0.1,0.351058632,0.446520147,0.2,0.457352941,0.5
471533,0,1,3.5,52.78953168,63.98136646,65,62.9875,33
758350,0,1,0.1,40.85,50,50,50,50
607579,0,0,25.9,18.81595745,16.54761905,17.6,16.84,19.2
487305,0,0,0.6,12.26918239,32.45849057,43,33.57358491,30
405841,100,0,82.2,69.06538462,62.98,60,52.5,45
749803,100,1,79,64.8328125,56.48333333,62.5,56.11428571,50
291848,0,0,79,79.93688761,76.2012987,71.7,78.86315789,50
753109,100,0,78.4,38.91,30,30,30,30
663881,100,0,98.3,90.24444444,80,70,70,70
749799,0,1,3.8,25.13763441,14.96341463,12.9,13.005,5.9
6228,0,1,0.7,8.808844765,11.03252033,8,9.557377049,11
416648,0,1,13.5,26.41035549,28.14335664,25,26.69014085,40
416515,100,1,83.3,85.60434783,82.87062937,90,80.63380282,40
471519,0,1,33.8,65.30962672,82.9380531,90,81.07142857,33
206093,0,0,0.1,0.675971093,2.404065041,2.6,2.595901639,2
758551,0,1,0.1,13.01355932,42.01538462,50,46.88333333,30
664640,0,1,15.1,69.24007353,78.33333333,85,85,85
